Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
Bettingescrow,Services/Other,nba playoff  pick,nba pick of the night  all you need is  betting account anywhere..  you buy the pick and i send the pick right over then all you have to do is bet exactly what i tell you ;),0.02323797444444444 BTC,,,4.83/5,
globalmethods,Services/Other,Order Addon - Super Stealth Packing,For what ever reason you may feel you need extra stealth  maybe delivering to your work  or have a nosey spouse. Whatever your reason we can step up the stealth so you won't even find it without our  ...,0.06 BTC,UK,,5.00/5,
cyberzen,Services/Other,Anonymous Instant Messenger Guide [ICQ  Jabber  Torchat],Anonymous Instant Messenger Guide [ICQ  Jabber  Torchat]  EASY  NOOB FRIENDLY.  Setting up instant messenger services anonymously through ICQ  Jabber and Torchat.,0.012948344219409283 BTC,,,4.89/5,
livinglarge,Services/Other,Request eBay Service,You have to buy this listing in order to use my eBay Service. This is so that I know you have money  and I wont be wasting my time answering your questions. I was on Tormarket with over 300+ feedback ...,0.08489683466666667 BTC,,,5.00/5,
DoctorNick,Services/Other,USPS Tracking Add-On for Domestic Orders,This is an addon item for customers buying my Suboxone listings  making the package trackable (tracking will not be provided until over 7 days late on my projected delivery window)  If you like you ...,0.005042591294117647 BTC,USA,,4.94/5,
5588,Services/Other,PRIORITY MAIL EXPRESS SHIPPING LABEL 11-B,THIS AUCTION IS FOR 50 PRIORITY EXPRESS SHIPPING LABELS  If you have less than 5 feedback you must FE. If this is your first time ordering from me then you must FE.   Shipping is free priority m ...,0.07622781112499996 BTC,USA,,5.00/5,
canadasunshine,Services/Other,Torguard VPN Service,I am a reseller of VPN Services. This is for 1 Year of Service  you will get a username and password to run the VPN. Can be used to hide your IP Address  change it to over 20 countries in the world  ...,0.08137048875 BTC,,,4.96/5,
cyberzen,Services/Other,How to Hide Anything,Book Name: How to hide Anything By: Michael Connor Press: Paladin Press Pages: 111 Language: English Format: PDF  With little effort and expense  you can hide cash  armaments and even family f ...,0.013575896815286608 BTC,,,4.89/5,
DoctorNick,Services/Other,Decoy first class letter - business letter,This is a simple service  a phony business letter  form  or other correspondence will be sent to the address of your choice. The correspondence will not be customizable and will be a random form or l ...,0.020597182772277227 BTC,USA,,4.94/5,
canadasunshine,Services/Other,Now Hiring in US/Canada,Update July 6 - was locked out of my account since June 28  but back in now. if this site is down you can always order through Andromeda Market at  http://andromedam363aux.onion/profile.php?id=sunsh ...,9.7106875e-05 BTC,Canada,,4.96/5,
starlight,Services/Other,REAL Genuine USA Identity Set Guide,In this comprehensive guide it is explained how to navigate the ridiculous bureaucracy of the US to acquire a NEW identity which will be registered in all databases. This does not involve using a dec ...,0.2614872275890993 BTC,,,4.88/5,
fake,Services/Other,WORLDWIDE SIM CARDS,This is a guide  i will tell you where to buy sim cards of following countries:  Sim cards for the Bahamas Sim cards for Cayman Islands Sim cards for Croatia Sim cards for Hong Kong Sim cards f ...,0.029154719499999995 BTC,,,4.782/5,
passman,Services/Other,BANK DROP ONLY 20% FEE,⚜BANK DROP ONLY 20% FEE⚜  ⚜HOW THIS WORKS⚜ ► PM me why you need the bank drop. We will agree on terms. ► I will send you full bank account details and you deposit money to that account. ► After  ...,0.17451414702064885 BTC,,,4.946/5,
passman,Services/Other,(Must Have For ALL Tor Users) Anonymous VPN Software  30 Days Subscription,"ARE YOU USING TOR WITHOUT A VPN? IF YOUR ANSWER IS ""YES"" THEN YOU ARE DOING A BIG MISTAKE!! PLEASE READ EVERYTHING CAREFULLY.  VPN is a very important piece of the puzzle when it comes to online se ...",0.1750646650224214 BTC,,,4.946/5,
cyberzen,Services/Other,How To Set Up A PGP Key Easily [Images Included],In this guide I will teach you (images included) how to set up a PGP key. PGP is the way to communicate anonymously.,0.01088595654101995 BTC,,,4.89/5,
businessdude,Services/Other,Car theory test in Holland (CBR),We have a connection with high positions people in Holland who can help you to pass the car theory test! If you plan to live in the Netherlands and you do not speak the language? Don't worry! success ...,0.1667905843396227 BTC,,,4.88/5,
cyberzen,Services/Other,Become an expert in making small talks,This listing is for the best ebook on making small talks (especially with the opposite sex) and keeping the conversation flowing in the direction you want it to go.  Small talks are very necessary ...,0.01166367537373737 BTC,,,4.89/5,
DoctorNick,Services/Other,Decoy first class letter - plain letter,This is a simple service  a single plain letter or card will be sent to the address of your choice. There may or may not be some sort of correspondence on the inside  most of the time they will just  ...,0.019640520200000008 BTC,USA,,4.94/5,
ucard,Services/Other,✆PRIVATE CONSULTIN: SE~CARDIN~ATO~SECURITY~PTo~WARRANTY FRAUD✆,Alpha02 TCF moderator and reputed member now offerin private consultation.   If you want time for you to learn ask questions get accurate replies and information  and gettin better at this simply  ...,0.37471873966666663 BTC,World,,5.00/5,
cyberzen,Services/Other,Disappear and Live Free Forever,[Guide] Disappear and Live Free Forever,0.01403446615999999 BTC,,,4.89/5,
fake,Services/Other,Videopusher - 50000 FREE views a day for your video !!,the best software to make more then 50000 FREE views a day for your videos  the retail price of this software is : 1000 Euro   but you pay only 50 usd buying from me  http://www.video-pusher.com/ ...,0.16428850271186443 BTC,,,4.782/5,
Hackyboy,Services/Other,Hacked PP 2K usd balance - CC + Bank attach,HACKED US PAYPAL ACCOUNTS VERIFIED 2K USD BALANCE.  CC + BANK ATTACH DELIVERY FOR FREE WITH ACCOUNT   DELIVERY INFORMATION :  - username - Password - complete name - complete adress - bala ...,1.0255175018518514 BTC,Torland,,4.92/5,
cyberzen,Services/Other,How to Make Her Want Anal Sex + Anal Sex Guide,How to Make Her Want Anal Sex + Anal Sex Guide.,0.013616163684210512 BTC,,,4.89/5,
cyberzen,Services/Other,50 Things You're Not Supposed To Know,50 Things You're Not Supposed To Know.  Very interesting and eye-opening read.,0.008677436570155905 BTC,,,4.89/5,
livinglarge,Services/Other,Request Custom Flight Booking,You have to buy this listing in order to book a flight. This is so that I know you have money  and I wont be wasting my time answering your questions. I was on Tormarket with over 300+ feedback  if t ...,0.06816768030534354 BTC,Internet,,5.00/5,
cyberzen,Services/Other,Increase Sperm Count NATURALLY,Increase Sperm Count NATURALLY. Very important guide.,0.013832123249475883 BTC,,,4.89/5,
fake,Services/Other,SOCKS5 PROXIES + SOFTWARE  10 DAYS (90 PROXIES),I'LL GIVE YOU AN EASY TO USE SOFTWARE THAT WILL MAKE YOU ABLE TO USE 90 SOCKS5 PROXYES FROM ANY COUNTRY FOR 10 DAYS.  GET 1 MONTH 250 PROXIES CHEAP HERE: http://k5zq47j6wd3wdvjq.onion/listing/1002 ...,0.0979492737719298 BTC,,,4.782/5,
echo,Services/Other,High quality PLA 3D prints by echo,I will anonymously 3D print anything for you with my handbuilt high resolution 3D printer. This printer uses a .35 mm nozzle with a .2 mm layer height  and produces strong  smooth prints every time.  ...,0.005307105 BTC,,,5.00/5,
PerfectScans,Services/Other,Anon Banking 600 000USD PA Limit Anon Load/Cashout ATM Card,PerfectScans are at it once again  bringing the light so bright this time  even sunglasses won't help you.  How do we do it ?  Simple really  we are just plan damn awesome and all come from a ver ...,6.120791421999999 BTC,,,~5/5,Average price may be skewed outliar > .5 BTC found
Lovebomb,Services/Other,Pandora Market Activated Vendor Accounts-HALF PRICE!,So  as many people know  Pandora charges an arm and a leg for vending accounts- 1 whole bitcoin! We got a handful of accounts for a business plan which we never followed through on  and we currently  ...,0.5 BTC,Internet,,~2/5,
NW-Nugz,Services/Other,$10 extra service or custom price adjuster,Buy this to send $10 to NW Nugz for whatever reason you may have. These will be marked shipped if we think we know why you ordered it.  This item allows custom payments for various purposes.  Examp ...,0.033981249423076926 BTC,USA,,~5/5,
missgreen,Services/Other,International Dummy letter,If you want a dummy letter just add in the comment box if you can organic materials in it or just a letter/b-day card etc.   Easy to see if you mail will be opened or if you address is flagged.,0.02230102121212121 BTC,Netherlands,,5.00/5,
hot-potato,Services/Other,Private Courier,Private anonymous courier service - Victoria and SA (Australia) but other areas considered.  I am a driver and owner of a business allowing totally private travel arrangements for:   *  Documents ...,0.46686564199999997 BTC,Australia,Australia,~5/5,
optiman,Services/Other,Facebook Followers - The easy way to get famous,Does your friend has more followers then you? have you ever posted a photo and got a small amount of Likes  while your friend are getting plenty of likes? Do you want to become popular? Do you wan ...,0.05454192802083332 BTC,Internet,Facebook,5.00/5,
cyberzen,Services/Other,[Paypal] How to keep your Paypal active and avoid risking closure,A Guaranteed System to Ensure your Paypal Account is Never Restricted,0.023012356284246565 BTC,,,4.89/5,
RastainPeace,Services/Other,Padlocks opener,4 Piece Comb Pick Set   they can open padlocks within seconds.  This pack comes with a variety of comb picks to serve a variety of different pinned padlocks.    Unlock a Padlock within 5 secon ...,0.08663656703703705 BTC,EU,,4.94/5,
RastainPeace,Services/Other,Fire brigade masterkeys set,Useful for the tool box for unlocking and gaining access to communal gates and storage areas.,0.14439493537037032 BTC,World,,4.94/5,
DutchDeal,Services/Other,Tracking Service with Signature.,Tracking Service with Signature when you want tracking.  DD.,0.0682429440909091 BTC,Torland,,5.00/5,
optiman,Services/Other,YouTube Likes - BE FAMOUS!,Have you ever uploaded a video to YouTube? It's hard to get like  right? If you aren't famous or some public figure you won't get likes easily.   Have you ever came across some not interesting vid ...,0.08689774285714288 BTC,Internet,YouTube,5.00/5,
optiman,Services/Other,Sound Plays - Get Famous!!,Have you ever uploaded your music to SoundCloud? It's hard to get plays  right? If you aren't famous or some public figure you won't get plays easily. Have you ever came across some shitty music o ...,0.030254669999999997 BTC,Internet,SoundCloud,5.00/5,
livinglarge,Services/Other,huckle hotel booking,$989 ,3.4373986350980394 BTC,,,5.00/5,Average price may be skewed outliar > .5 BTC found
livinglarge,Services/Other,PayPal & eBay Cashout Coaching Session,THIS IS THE BEST INVESTMENT YOU WILL EVER DO IN THE UNDERGROUND SCENE  PERIOD. THE AMOUNT YOU SPEND ON BUYING THIS  YOU WILL MAKE BACK WITHIN A MONTH IF YOU HAVE MULTIPLE COURIERS  OR TWO MONTHS BY D ...,18.844024249955158 BTC,,,5.00/5,Average price may be skewed outliar > .5 BTC found
optiman,Services/Other,Have something to sell? got an idea?,Got an idea to make money? have something to sell? Pm us.  Best wishes  Optiman,4564.0 BTC,Torland,,5.00/5,
cyberzen,Services/Other,Free VPN For Windows  Mac & Linux,I have used over 20 VPN services over the years.  After purchase I will send you a free VPN  compatible with Windows  Mac and Linux.   Socks5  Proxy  IP,0.014896781511627903 BTC,,,4.89/5,
optiman,Services/Other,Our hot girl will write on her boobs anything you want!,This is a very special listing! tell us what you want her to write on her breast and she will take a pic! The listing photo is real and it is her actual breast. She will write any message on her bo ...,0.06882997647619046 BTC,Swaziland,Worldwide,5.00/5,
optiman,Services/Other,Twitter ReTweets - The easy way to get famous!,Does your friend has more ReTweets then you? have you ever posted a photo or a post and got a small amount of favorite  re-tweets or comments ? Do you want to become popular? Do you want all of yo ...,0.2433094074285714 BTC,Internet,Twitter,5.00/5,
mssource,Services/Other,EXPRESS MAIL SERVICE...!!,PLZ ALWAYS READ MAIN PROFILE BEFORE ORDER ********************************************************************    THIS LISTING IS FOR ADD EXPRESS SHIPPING TO YOUR ORDER IF YOU HAVE FORGETT TO A ...,0.1461421624137931 BTC,World,WORLDWIDE,4.95/5,
RastainPeace,Services/Other,CC lockpick kit,Credit Card Lock Pick  This is a new credit card pick set! It contains 4 of the finest stainless steel picks ever made  and a double-ended tension tool of .035 spring stainless steel. There are 3  ...,0.07219713833333331 BTC,World,worldwide,4.94/5,
DrWhite,Services/Other,DrWhite's Darknet Computer Consulting Service,Darknet Security Consulting $30/hour  Get trained in computer/darknet use in the safety and convenience of Torchat!  I have a computer consulting background with a 3+ year expertise in darknet se ...,0.10058318284482756 BTC,World,,5.00/5,
livinglarge,Services/Other,tubbymora hotel booking,$712 ,1.421803304705883 BTC,,,5.00/5,
5588,Services/Other,Priority Mail Shipping,This Auction/Listing is for the people that have not paid for shipping  Please buy this item which is 0.00 and click on priority mail shipping  Thank you.,0.0030036805681818183 BTC,USA,,5.00/5,
Hackyboy,Services/Other,How to use socks,How to setting up a proxy server to work with you'r browser,0.02700468366666666 BTC,Torland,,4.92/5,
Gotmilk,Services/Other,uk reshipping,extra fees for uk re-ship too EU or hard to import countries,0.10575466394957979 BTC,,,4.74/5,
Hackyboy,Services/Other,French Facebook account + mail access,Facebook account + mail access (mail + password)    Only french accounts for moment    All accounts are checked manually before ship it,0.0754231732142857 BTC,Torland,,4.92/5,
RastainPeace,Services/Other,10 PIECES MASTERKEY BUNDLE,A great selection of high quality master keys which will open a large range of      -  lockers     - filing cabinets     -  desk drawers     - other similiar locks,0.433534079245283 BTC,Torland,worldwide,4.94/5,
optiman,Services/Other,NETFLIX - Lifetime account for only 6$ !,The account is for LIFETIME ! If something went wrong and the the account ran out we guarantee to give you a new one. The real prices for Netflix are 7.99$/per month We are offering 6$ for lifetim ...,0.012310528571428572 BTC,Torland,Worldwide,5.00/5,
cyberzen,Services/Other,Cum on Camera With Hot Chicks,My methods are designed for both “real life” and online situations. At first  I didn’t want anyone to know my secret ways and methods  but seeing how powerful and effective they are  it would be a  ...,0.013841480249999996 BTC,,,4.89/5,
cyberzen,Services/Other,Firefox Setup For Extreme Privacy,Firefox Setup For Extreme Privacy.,0.014117624289617482 BTC,,,4.89/5,
fake,Services/Other,TOP USA CREDIT PROFILES SSN DOB PHONE ETC..,i will send you an email contact of a trusted vendor. I will tell you where hackers obtain sensitive information on US residents with excellent credit (740+). These informations will allow you to i ...,0.04909790897435895 BTC,,,4.782/5,
cyberzen,Services/Other,Tactics and Techniques for Bypassing Alarms and Defeating Lock,Tactics and Techniques for Bypassing Alarms and Defeating Lock  .pdf,0.013523269658119653 BTC,,,4.89/5,
cyberzen,Services/Other,[Android] Security And Anonimity,ANDROID SECURITY AND ANONYMITY PACK TUTORIAL + APPS,0.014028025043103428 BTC,,,4.89/5,
cyberzen,Services/Other,TOP VPN LIST that don't keep logs,*TOP 5 VPN FOR WINDOWS *TOP 5 VPN FOR LINUX (HOW TO SET UP) *TOP 5 VPN FOR IPHONE (AND HOW TO SETUP) *TOP 5 VPN FOR ANDROID (HOW TO SET UP GUIDE *TOP 5 VPN LOG LESS *TOP 5 FREE VPN  That accep ...,0.019095211279999996 BTC,,,4.89/5,
DoctorNick,Services/Other,Customizable decoy letter or package sent from USA,This is a customizable piece of mail  form  letter or correspondence of your choice. Whether it be a love letter  a doctor's office reminder  a decoy including empty baggies or inert powders or to ot ...,0.04599238714285711 BTC,USA,Worldwide,4.94/5,
DoctorNick,Services/Other,Decoy first class letter - plain letter mailed from Canada,This is a simple service  a single plain letter or card will be sent to the address of your choice. There may or may not be some sort of correspondence on the inside  most of the time they will just  ...,0.018768916874999996 BTC,Canada,Worldwide,4.94/5,
passman,Services/Other,(Must Have For ALL Tor Users) Anonymous VPN Software  9 Days Subscription,"ARE YOU USING TOR WITHOUT A VPN? IF YOUR ANSWER IS ""YES"" THEN YOU ARE DOING A BIG MISTAKE!! PLEASE READ EVERYTHING CAREFULLY.  VPN is a very important piece of the puzzle when it comes to online se ...",0.06982058683257925 BTC,,,4.946/5,
fake,Services/Other,ANONYMOUS PHONE NUMBER WITH VOICEMAIL,I will give you an anonymous private phone number and voicemail.  All you need is an email address to set up the account.  People can call your number  leave a message  and it will be delivered t ...,0.040528363333333366 BTC,,,4.782/5,
cyberzen,Services/Other,How I have made 100's of dollars over a week,How I have made 100's of dollars over a week  This does NOT involve:  PPD Refferals CPA Investments Phones SEO Youtube Blackmailing Adsense Craigslist BTC Ewhoring  FAQ:  Q: How mu ...,0.024461116302521006 BTC,,,4.89/5,
cyberzen,Services/Other,TOP 120 Onion and Underground Websites,I discovered Tor 2 years ago and ever since I have found many interesting websites of all kinds. I have gathered all and made a list with the very top 120 of them.  I do not support or encourage an ...,0.025531372499999972 BTC,,,4.89/5,
cyberzen,Services/Other,Money Making ebook Collection,Money Making ebook collection  A large ebook collection on making money online legally without any  investment.  150+ ebooks and tutorials.,0.21166684268929498 BTC,,,4.89/5,
DoctorNick,Services/Other,Decoy first class letter - plain letter mailed from UK,This is a simple service  a single plain letter or card will be sent to the address of your choice. There may or may not be some sort of correspondence on the inside  most of the time they will just  ...,0.014086922500000001 BTC,UK,Worldwide,4.94/5,
brulz8,Services/Other,Anonymous SIM card,Anonymous polish SIM card. SHIPS SAME DAY ON WEEKDAYS!!! vendors thread http://i25c62nvu4cgeqyz.onion/viewtopic.php?id=1647 verify your account anonymously!!! Can be used worldwide. Easy reload ...,0.034750052000000003 BTC,World,,5.00/5,
cyberzen,Services/Other,[ANDROID] Phone vip72 SOCKS + TOR Tutorial,How To Use ANDROID phone vip72 SOCKS + TOR tutorial,0.013465729411764691 BTC,,,4.89/5,
livinglarge,Services/Other,Request Custom Hotel Booking,You have to buy this listing in order to book a stay. This is so that I know you have money  and I wont be wasting my time answering your questions. I was on Tormarket with over 300+ feedback  if tha ...,0.06775015056603773 BTC,Internet,,5.00/5,
cyberzen,Services/Other,[SOCKS5 Finder] Proxy Scanner Proxy For Windows,[SOCKS5 Finder] Proxy Scanner Proxy For Windows,0.014148491445182699 BTC,,,4.89/5,
echo,Services/Other,Ultra high quality 3D prints by echo,I will anonymously 3D print anything for you with my handbuilt ultra high resolution 3D printer. My printer creates models accurate to 50 microns and below  so clear and smooth they look like glass.  ...,0.03641250589743589 BTC,,,5.00/5,
cyberzen,Services/Other,Cell Phone Tracking,All about Cell Phone tracking and trace phone registered location.,0.01444147335937499 BTC,,,4.89/5,
